id,code,exception,tax_classification
__export__.l10n_br_fiscal_ncm_11706_d7a2f6fd,0302.36.00,,
__export__.l10n_br_fiscal_ncm_11707_3c31159f,0302.39.00,,
__export__.l10n_br_fiscal_ncm_11708_ed423e26,0302.41.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11709_266ff77c,0302.42.10,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11710_c478085b,0302.42.90,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11711_d62e7b93,0302.43.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11712_f267821b,0302.44.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11713_0629ee35,0302.45.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11714_8bd16832,0302.46.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11715_f56717cb,0302.47.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11716_6c194b8a,0302.49.10,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11717_6c99dd09,0302.49.90,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11718_b01fc96c,0302.51.00,,
__export__.l10n_br_fiscal_ncm_11719_745282dc,0302.52.00,,
__export__.l10n_br_fiscal_ncm_11720_26ab264f,0302.53.00,,
__export__.l10n_br_fiscal_ncm_11721_cc3a5ed2,0302.54.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11722_ea6b8c00,0302.55.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11723_d6cd6535,0302.56.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11724_5ebcc2e9,0302.59.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11725_a58158cf,0302.71.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11726_e5f286fd,0302.72.10,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11727_a0fde3da,0302.72.90,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11728_8a8f304b,0302.73.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11729_11d82787,0302.74.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11730_f81d561e,0302.79.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11731_9adb40ff,0302.81.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11732_e48cfa62,0302.82.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11733_18e69a65,0302.83.10,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11734_a3f7820f,0302.83.20,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11735_7a9d4c2a,0302.84.00,,l10n_br_fiscal.tax_classification_200003
__export__.l10n_br_fiscal_ncm_11736_6e9f35f4,0302.85.00,,l10n_br_fiscal.tax_classification_200003
